Seed,BNN reward,BNN std,DNN reward,DNN std
600.0,189.033,19.244737228655527,181.186,30.7422413626593
600.0,174.573,38.308180209976044,173.827,39.67771504257774
601.0,158.712,54.098253724126806,174.281,37.20446262211026
602.0,173.205,37.42732925283342,183.545,26.02229765028446
603.0,178.991,33.86040340870144,167.562,44.85300609769651
604.0,152.53,51.60818830379536,193.133,13.678790553261644
605.0,179.743,31.56486893684179,183.6,29.14443343075998
606.0,189.348,20.867172688220126,169.654,40.70710360612752
607.0,181.062,30.781165604960442,165.401,46.435548871527295
608.0,168.273,34.65709842153552,170.795,41.49369801548182
609.0,193.892,14.068913817349227,183.173,28.91987328810415
610.0,188.193,21.858768286433705,180.213,32.4306588123029
611.0,170.863,42.77840846735651,179.165,32.55263084606219
612.0,177.668,34.5502500135672,166.819,45.27204699370242
613.0,162.497,48.14044028672775,179.629,31.492814402653824
614.0,165.462,32.28124154985368,162.583,47.733857072312944
615.0,153.906,46.881629280561484,168.41,43.66728638237096
616.0,168.599,43.925848870568224,157.426,44.37835648151022
617.0,161.473,49.99357229684632,171.155,44.411203259988355
618.0,171.944,39.94800200260334,197.804,7.14475919818156
619.0,178.396,35.61922492138199,162.945,39.398908297058185
620.0,185.814,24.463675194050463,181.215,29.709843065893164
621.0,168.415,44.07347019466473,165.651,43.90010477208454
622.0,174.124,34.80222153828689,167.101,45.65046329447271
623.0,170.029,48.69084266060714,178.984,34.6279041236977
624.0,179.13,32.05702887043651,174.485,40.238983274928806
625.0,183.434,27.715765260948505,178.836,34.13527653322879
626.0,186.5,22.260952360579726,185.662,25.41931855892286
627.0,176.516,31.022374892970397,169.504,41.54135269824515
628.0,174.348,38.371094537424916,171.324,40.013760433131004
629.0,171.179,41.93505644445945,162.273,51.401755524495464
630.0,180.0,27.892328694463643,180.935,30.207396031435746
631.0,186.232,25.223207091882664,174.959,39.30927777255644
632.0,164.072,43.17328822315947,169.851,41.046982824563365
633.0,168.079,43.53868118122091,166.771,46.04087921619222
634.0,121.68,46.91606974161412,176.872,35.274461243228075
635.0,160.459,49.3920471229934,135.499,51.672545892378864
636.0,137.33,55.32521215503832,175.433,37.01050541400374
637.0,191.311,18.14029434711576,169.811,44.07075310225593
638.0,176.53,33.978744826729546,185.17,26.49873770578516
639.0,176.896,34.579924580600235,172.266,41.19889857751054
640.0,176.739,32.37342859506852,165.773,46.71725025084418
641.0,180.764,29.1126828719031,179.69,32.048149712580916
642.0,179.676,33.46175464616283,171.556,40.416541959945064
643.0,139.768,49.17182298837414,181.849,30.78009420063558
644.0,167.801,33.860823956306795,170.627,42.21139503735929
645.0,163.127,45.71333362379077,171.773,41.12772144186935
646.0,165.377,47.640265228061025,167.751,43.65653443643918
647.0,177.358,31.28040658303533,175.218,37.47909385243992
648.0,166.952,40.632175624743496,179.616,32.35024797432008
649.0,178.48,33.78111306632746,166.972,46.5280261347932
650.0,185.373,22.921908101203094,186.191,25.789697923783443
651.0,171.546,35.90075046569361,160.259,49.375154875706464
652.0,174.395,40.919176128069836,177.155,35.14679181660824
653.0,121.433,49.94846855510187,183.345,28.73729240899358
654.0,187.315,20.511893501088583,167.889,44.00943852175349
655.0,164.119,48.83335785096086,180.422,32.193010359393234
656.0,165.493,46.77614724408158,175.635,37.2137041289899
657.0,162.95,51.06912472326111,164.158,51.29552647161348
658.0,170.114,41.35290804768148,161.427,51.802573980450035
659.0,179.071,28.50508654608858,158.234,45.85293059336556
660.0,181.841,27.04695396897773,164.391,50.734190828276745
661.0,178.31,32.71684428547472,172.747,39.43877522185495
662.0,181.971,31.098909289555476,171.409,43.314959529012604
663.0,164.474,49.67513788606933,174.59,37.46761134633485
664.0,180.92,36.054869296670596,193.332,13.769523448543888
665.0,182.706,26.383016582642707,191.106,16.239851107691845
666.0,180.251,27.343262405938322,171.864,40.00169376413954
667.0,184.17,22.91534638621027,174.715,38.275942509623455
668.0,170.181,39.05178919076564,168.64,42.99512065339508
669.0,173.595,31.293401461010912,198.219,6.35413558243763
670.0,163.643,46.29779207478473,163.738,49.14679395443817
671.0,168.781,43.370070774671326,198.388,5.798746071350253
672.0,171.137,42.52068003924678,178.261,33.85222118266392
673.0,169.587,44.84507142373619,167.23,46.687569009319816
674.0,180.477,31.611287082306536,165.7,48.70907512979486
675.0,158.828,33.267437773294176,184.108,28.27458816676204
676.0,177.866,33.04660412205768,173.122,38.64457421165357
677.0,158.618,51.59065880564038,172.037,40.14271579004092
678.0,162.778,46.681117338812705,147.528,48.88113353841132
679.0,187.694,21.94721768243073,168.01,44.11351153558284
680.0,170.445,36.99844557545628,196.735,9.273983771821039
681.0,165.174,46.84578661950293,174.543,39.92104897168911
682.0,169.791,31.834341818231454,174.903,38.757806839396885
683.0,176.486,34.90231803190155,162.408,49.079563323240755
684.0,168.253,45.883602637543625,179.996,32.86338363589483
685.0,178.497,32.16687723419854,170.801,41.882041485581865
686.0,153.299,31.954210974455307,182.505,28.259475844395983
687.0,170.9,42.22648458017788,171.31,43.62570228661081
688.0,165.453,49.10498743508647,166.765,48.38272186431847
689.0,191.686,17.19498194241564,173.218,38.48847198837595
690.0,175.735,37.74311559741724,180.676,32.21786808589296
691.0,167.035,48.93211394370777,193.087,14.399077435724832
692.0,166.699,43.2170845731176,164.874,49.145438486191175
693.0,164.516,49.16038795615836,175.781,36.67270155033577
694.0,175.611,37.62647577172223,170.183,42.23102545522664
695.0,179.194,27.305830219936546,181.213,30.599569130953462
696.0,164.911,49.98916961702805,176.377,36.367002502268456
697.0,169.313,40.25375797363521,164.08,50.39138418420355
698.0,185.098,25.276479106078046,182.498,29.86841134041113
699.0,197.193,7.554320022344831,198.6,5.0483660723049795
700.0,160.674,49.4412552834169,174.754,37.29256606885614
