,gamma,max_kl,lam,entcoeff,cg_damping,vf_stepsize,-reward
0,0.9725381873007863,0.058546715809032326,0.9702068537380546,0.024620485255494717,0.034926783666945994,6.874288906343282e-05,4.86
1,0.9708544551339,0.04827558947261423,0.944126667715609,0.06302596400212497,0.009218537045642735,0.0007224710065219552,4.83
2,0.9820330768246204,0.004359696589410305,0.9319945748336613,0.06556799568608404,0.032198404212482275,0.0004108534391410649,2.31
3,0.9254288812922314,0.09878166661970318,0.9534445727337152,0.005195979721844196,0.07364625703077764,3.84138479270041e-05,4.78
4,0.9277335322648287,0.052270979053340855,0.90193131538108,0.04911812198441476,0.0391086416170001,0.0002851286380272359,4.9
5,0.946690541532822,0.09336114129517228,0.9324726018123328,0.04227762960828841,0.014636056158691641,0.00032553641137667,4.77
6,0.9916763378056058,0.001,0.9286744680394781,0.07087581854376666,0.03831705364841084,0.0003530555685800802,0.67
7,0.9989999999976941,0.001,0.9258077336776483,0.07580077474189752,0.04309554560739277,0.0003032822011131826,2.92
8,0.9908444016118655,0.001,0.9298319679885451,0.061861205947647976,0.038140020793446604,0.00041028330143450073,1.43
9,0.9891247492942165,0.0010000000000000098,0.9290299637564339,0.07628812242635946,0.03633401430597699,0.00032613338860429034,1.3
