,gamma,vf_coef,ent_coef,max_grad_norm,-reward
0,0.9112958635697141,0.12626971434801817,0.019030963085591796,0.4027693994343281,4.86
1,0.9302322721062228,0.2912173536606133,0.019389621403068307,0.5353304438292981,4.84
2,0.9217395118698478,0.263854612596333,0.02015010817535222,0.3442181468009949,4.9
3,0.9543197614587844,0.20880289729684592,0.05212123883422465,0.659488171339035,4.9
4,0.9381689562415705,0.10144990915432572,0.004463622440584004,0.2997741587460041,4.85
5,0.9288951315915225,0.3238301282139282,0.01003011691994437,0.6149719505563271,4.8
6,0.9313289429590546,0.35327477991049794,0.005162126762773046,0.724048540135802,4.91
7,0.9234320591875625,0.3356881802688817,0.0018559838992686308,0.5858845281626428,4.86
8,0.9318147997628717,0.3149505367749702,0.014949679197225691,0.625030069835293,4.81
9,0.92816064301507,0.30021436823487524,0.011060211690605174,0.5943540214061306,4.89
